id,language,BV_n_tokens,BV_char_per_tok,BV_verbal_head_per_sent,BV_verbal_root_perc,BV_avg_token_per_clause,BV_avg_links_len,BV_avg_max_depth,BV_avg_subordinate_chain_len,BV_subordinate_pre,BV_subordinate_post,BV_avg_verb_edges
hun,Hungarian,0.63375727929079,0.86099677743599,0.543982785603558,0.84560380525015,0.807957799814382,0.8608406358735,0.628061514970322,0.542487498680313,0.11480818901962,0.608600664458201,0.855997585338507
ind,Indonesian,0.591638232862421,0.809383009235205,0.583823340544437,0.781639208637202,0.667654091510006,0.690790067419673,0.638115463749801,0.604211678100651,0.130827727303766,0.703291500964284,0.63057878218223
ita_isdt,Italian,0.571550783680027,0.647425334212449,0.476994244710262,0.722623884797753,0.696226694408995,0.687672225460803,0.587004196163921,0.503253968706781,0.123546361821939,0.549577708112974,0.632973073547318
ita_partut,Italian,0.721465764761332,0.681755700608807,0.604865556978821,0.810904864735294,0.84240023082543,0.765403851220832,0.699797724872494,0.692467781737034,0.178766616076179,0.729292621446519,0.696290581174443
ita_postwita,Italian,0.503121324810628,0.700661731039543,0.44870683957714,0.565215709120505,0.609840552111134,0.918290711429205,0.495371219220958,0.618764733596678,0.059522398561345,0.737473971818221,0.694950101379401
jpn,Japanese,0.610527010830243,0.257307117887128,0.568519107323156,0.705863851175341,0.678929822606087,0.775106200749533,0.615687903575542,0.783715135858402,0.924453920144983,0.002917679819587,0.799495164152745
kor_gsd,Korean,0.343897621648894,0.423045256187805,0.778162903912066,0.785829806539343,0.306421527593713,0.743823595144361,0.522123523937919,0.779691918182918,0.813501495520107,0.157413572296765,0.428295281872129
kor_kaist,Korean,0.347241325680773,0.422962843524616,0.579680178796124,0.730928935844671,0.438316805573779,0.720720866886655,0.567425195044609,0.941738841989879,1,0.138544301287334,0.510497686363611
lat_ittb,Latin,0.456023980746518,0.779429473968612,0.6654415091769,0.737347561788676,0.444497243273988,0.74918518934076,0.505107967632634,0.77723294301883,0.251786084325037,0.726763119365908,0.600335684361493
lat_proiel,Latin,0.294941830673744,0.7315747399073,0.591335731782612,0.849894775256305,0.312177091565469,0.674451032539285,0.428281654464889,0.601148018178018,0.306445241766599,0.489744528663829,0.568924458518129
lav,Latvian,0.416812270272801,0.777828810792988,0.609288391640937,0.822661210882583,0.444940500493276,0.683318460830773,0.495579946027106,0.559387694873892,0.16588513441294,0.589755606835362,0.570830222730076
nld_alpino,Dutch,0.416871987218271,0.695590448989613,0.412569357099645,0.771386444708422,0.587774262682995,0.799522416529367,0.460888254912349,0.492438851100096,0.160039539441069,0.513993816434663,0.707014142353212
nld_lassysmall,Dutch,0.362710545012246,0.821638256696767,0.236838823432552,0.456064137898995,0.46385094321211,0.676925553120462,0.384598242309638,0.272517542917034,0.068972758959521,0.317668601745869,0.423846737970803
nno,Norwegian,0.42003157918257,0.692590938465608,0.445243975702912,0.715217717941182,0.550563226950332,0.678283616761765,0.490867989550849,0.539772562640081,0.085505846887028,0.631737789337048,0.698243894952876
nob,Norwegian,0.465367013326359,0.696120588172445,0.448100494862491,0.641695592195516,0.576775468630026,0.702462174321853,0.529931634788658,0.567763450507395,0.100325095166416,0.653876577926851,0.66350382302934
