id	language	part_lemma	part_pos	part_synt	dep_pos	dep_tag	dep_synt	head_pos	head_tag	class
lat_ittb	Latin				on.NOUN;on.PROPN	sis.Case=Gen	on.nmod	on.NOUN;on.PROPN		clemma.zero;dep
lat_proiel	Latin				on.ADJ	sis.Poss=Yes	on.amod	on.NOUN;on.PROPN		dep_marked
lat_proiel	Latin				on.NOUN;on.PROPN	sis.Case=Gen	on.nmod	on.NOUN;on.PROPN		clemma.zero;dep
lav	Latvian				on.DET	sis.Poss=Yes&sis.PronType=Prs	on.det	on.NOUN;on.PROPN		clemma.zero;dep
lav	Latvian				on.NOUN;on.PROPN	sis.Case=Gen	on.nmod	on.NOUN;on.PROPN		clemma.zero;dep
nld_alpino	Dutch				on.PRON	sis.PronType=Prs	on.nmod:poss	on.NOUN;on.PROPN		dep_marked
nld_alpino	Dutch	on.de;on.des		on.det	on.NOUN;on.PROPN		on.nmod	on.NOUN;on.PROPN		dep_marked
nld_alpino	Dutch	on.van		on.case	on.NOUN;on.PROPN		on.nmod	on.NOUN;on.PROPN		dep_marked
nld_lassysmall	Dutch				on.PRON	sis.PronType=Prs	on.nmod:poss	on.NOUN;on.PROPN		dep_marked
nld_lassysmall	Dutch	on.de;on.des		on.det	on.NOUN;on.PROPN		on.nmod	on.NOUN;on.PROPN		dep_marked
nld_lassysmall	Dutch	on.van		on.case	on.NOUN;on.PROPN		on.nmod	on.NOUN;on.PROPN		dep_marked
nno	Norwegian				on.PRON	sis.Poss=Yes&sis.PronType=Prs	on.nmod	on.NOUN;on.PROPN		dep_marked
nno	Norwegian				on.NOUN;on.PROPN	sis.Case=Gen	on.nmod	on.NOUN;on.PROPN		clemma.zero;dep
nno	Norwegian	on.av	on.ADP	on.case	on.NOUN;on.PROPN;on.PRON		on.nmod	on.NOUN;on.PROPN		dep_marked
nob	Norwegian				on.PRON	sis.Poss=Yes&sis.PronType=Prs	on.nmod	on.NOUN;on.PROPN		dep_marked
nob	Norwegian				on.NOUN;on.PROPN	sis.Case=Gen	on.nmod	on.NOUN;on.PROPN		clemma.zero;dep
nob	Norwegian	on.av	on.ADP	on.case	on.NOUN;on.PROPN;on.PRON		on.nmod	on.NOUN;on.PROPN		dep_marked
por	Portuguese	on.de		on.case	on.PRON	sis.PronType=Prs	on.nmod	on.NOUN;on.PROPN		dep_marked
por	Portuguese				on.DET	sis.PronType=Prs	on.det	on.NOUN;on.PROPN		dep_marked
por	Portuguese	on.de		on.case	on.NOUN;on.PROPN		on.nmod	on.NOUN;on.PROPN		dep_marked
slk	Slovak				on.DET	sis.Poss=Yes&sis.PronType=Prs&sis.!Reflex=Yes	on.det	on.NOUN;on.PROPN		dep_marked
slk	Slovak				on.NOUN;on.PROPN	sis.Case=Gen	on.nmod	on.NOUN;on.PROPN		clemma.zero;dep
slv	Slovenian				on.DET	sis.Poss=Yes&sis.PronType=Prs&sis.!Reflex=Yes	on.det	on.NOUN;on.PROPN		dep_marked
slv	Slovenian				on.NOUN;on.PROPN	sis.Case=Gen	on.nmod	on.NOUN;on.PROPN		clemma.zero;dep
spa_ancora	Spanish	on.de;on.del		on.case	on.NOUN;on.PROPN		on.nmod	on.NOUN;on.PROPN		dep_marked
